Date,Ticker,Open,High,Low,Close,Adjusted,Returns,Volume
2024-01-24,XELB,16.899999618530273,16.899999618530273,13.600000381469727,14.899999618530273,14.899999618530273,-0.03870970203030499,14970
2024-01-25,XELB,14.0,14.899999618530273,13.300000190734863,13.899999618530273,13.899999618530273,-0.06711409567798632,7280
2024-01-26,XELB,13.300000190734863,13.807000160217285,12.600000381469727,13.100000381469727,13.100000381469727,-0.05755390352630352,5050
2024-01-29,XELB,13.800000190734863,13.899999618530273,12.899999618530273,13.0,13.0,-0.007633616683796363,2580
2024-01-30,XELB,13.595999717712402,13.861000061035156,13.0,13.50100040435791,13.50100040435791,0.0385384926429162,480
2024-01-31,XELB,13.199999809265137,13.994000434875488,13.0,13.100000381469727,13.100000381469727,-0.0297015043980553,9600
2024-02-01,XELB,13.229000091552734,13.670999526977539,12.5,12.600000381469727,12.600000381469727,-0.03816793781985395,8270
2024-02-02,XELB,13.300000190734863,13.300000190734863,11.0,11.800000190734863,11.800000190734863,-0.06349207670750456,8390
2024-02-05,XELB,11.800000190734863,11.800000190734863,10.701000213623047,11.0,11.0,-0.06779662523760033,5230
2024-02-06,XELB,10.899999618530273,10.986000061035156,10.5,10.600000381469727,10.600000381469727,-0.03636360168457031,4320
2024-02-07,XELB,10.600000381469727,10.633000373840332,10.100000381469727,10.350000381469727,10.350000381469727,-0.023584904811610685,3020
2024-02-08,XELB,10.399999618530273,10.600000381469727,10.300000190734863,10.600000381469727,10.600000381469727,0.02415458848171559,450
2024-02-09,XELB,10.600000381469727,10.699999809265137,10.399999618530273,10.699999809265137,10.699999809265137,0.009433907943081188,940
2024-02-12,XELB,10.800000190734863,10.899999618530273,10.699999809265137,10.800000190734863,10.800000190734863,0.00934583021049562,2510
2024-02-13,XELB,10.800000190734863,10.899999618530273,10.399999618530273,10.399999618530273,10.399999618530273,-0.037037089364844955,2480
2024-02-14,XELB,10.5,10.5,10.300000190734863,10.5,10.5,0.00961542164785767,2960
2024-02-15,XELB,10.600000381469727,10.600000381469727,10.300000190734863,10.300000190734863,10.300000190734863,-0.01904760088239399,2590
2024-02-16,XELB,10.600000381469727,10.78499984741211,10.199999809265137,10.300000190734863,10.300000190734863,0.0,1340
2024-02-20,XELB,10.199999809265137,10.598999977111816,10.100000381469727,10.199999809265137,10.199999809265137,-0.00970877472018683,3590
2024-02-21,XELB,10.590999603271484,10.590999603271484,10.199999809265137,10.199999809265137,10.199999809265137,0.0,1600
2024-02-22,XELB,10.199999809265137,10.199999809265137,9.600000381469727,9.600000381469727,9.600000381469727,-0.05882347441324487,4510
2024-02-23,XELB,9.649999618530273,9.649999618530273,9.178999900817871,9.300999641418457,9.300999641418457,-0.031145909184379983,4610
2024-02-26,XELB,10.0,10.199999809265137,9.399999618530273,9.399999618530273,9.399999618530273,0.010644014721918449,2940
2024-02-27,XELB,9.550999641418457,9.774999618530273,9.399999618530273,9.399999618530273,9.399999618530273,0.0,930
2024-02-28,XELB,9.399999618530273,9.869999885559082,9.399999618530273,9.869999885559082,9.869999885559082,0.050000030436415654,170
2024-02-29,XELB,9.699999809265137,10.300000190734863,9.699999809265137,10.0,10.0,0.013171237684726167,680
2024-03-01,XELB,10.600000381469727,10.600000381469727,9.699999809265137,10.0,10.0,0.0,1030
2024-03-04,XELB,10.0,10.0,9.5,9.5,9.5,-0.050000000000000044,2110
2024-03-05,XELB,9.199999809265137,9.526000022888184,9.199999809265137,9.399999618530273,9.399999618530273,-0.01052635594418172,1020
2024-03-06,XELB,9.600000381469727,9.600000381469727,9.350000381469727,9.49899959564209,9.49899959564209,0.010531912886108774,1520
2024-03-07,XELB,9.428000450134277,9.621000289916992,9.10099983215332,9.5,9.5,0.00010531681234815515,1300
2024-03-08,XELB,9.5,9.5,8.600000381469727,8.920999526977539,8.920999526977539,-0.060947418212890625,9430
2024-03-11,XELB,9.399999618530273,9.649999618530273,9.399999618530273,9.399999618530273,9.399999618530273,0.05369354522486125,910
2024-03-12,XELB,9.899999618530273,10.300000190734863,9.800000190734863,9.954000473022461,9.954000473022461,0.058936263507934905,4600
2024-03-13,XELB,9.699999809265137,9.954000473022461,9.699999809265137,9.800000190734863,9.800000190734863,-0.015471194993909476,470
2024-03-14,XELB,10.199999809265137,10.199999809265137,9.800000190734863,9.800000190734863,9.800000190734863,0.0,8070
2024-03-15,XELB,8.0,8.0,7.201000213623047,7.454999923706055,7.454999923706055,-0.23928573687639554,28890
2024-03-18,XELB,7.5,8.0,7.5,7.699999809265137,7.699999809265137,0.03286383475068999,3110
2024-03-19,XELB,8.5,8.5,7.75,8.15999984741211,8.15999984741211,0.0597402661742239,5610
2024-03-20,XELB,8.880000114440918,8.880000114440918,8.019000053405762,8.5,8.5,0.04166668614530922,3310
